motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,5000,3,32,8,8,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
50,0.1196289,-2.635254,-0.1176758,-220.9473,-28.07617,423.5229,0,0,0
51,0.2539062,-2.718262,-0.078125,-204.5898,-64.39209,433.3496,0,0,0
52,0.2915039,-2.425781,0.07226562,-182.312,-95.88623,439.1479,0,0,0
53,0.5844727,-2.224121,0.1669922,-154.9683,-118.042,440.0635,0,0,0
54,0.4584961,-1.691895,-0.1088867,-125.6104,-124.6948,435.0586,0,0,0
55,-0.03955078,-1.349121,-0.7900391,-101.1353,-123.7793,424.6216,0,0,0
56,-0.1347656,-1.350586,-0.1635742,-84.8999,-127.5024,411.1938,0,0,0
57,-0.2412109,-0.9580078,-0.1616211,-69.45801,-150.0854,388.9771,0,0,0
58,-0.2080078,-0.699707,-0.3979492,-49.43848,-181.7627,352.417,0,0,0
59,-0.1469727,-0.6494141,-0.4487305,-27.46582,-231.0791,298.8892,0,0,0
60,0.1235352,-0.7270508,-0.71875,-10.19287,-225.647,235.5957,0,0,0
61,-0.1635742,-0.4594727,-1.104004,-2.868652,-143.8599,169.3115,0,0,0
62,-0.434082,-0.6289062,-0.9541016,-7.873535,-61.58447,108.8257,0,0,0
63,-0.7182617,-0.6640625,-0.8662109,-15.38086,12.02393,59.63135,0,0,0
64,-1.138184,-0.7045898,-0.2758789,-19.47021,71.65527,24.10889,0,0,0
65,-1.254883,-0.671875,-0.3647461,-18.43262,92.7124,1.464844,0,0,0
66,-1.066895,-0.5610352,-0.2919922,-14.89258,63.7207,-11.96289,0,0,0
67,-1.027832,-0.4790039,-0.3994141,-12.146,12.81738,-21.85059,0,0,0
68,-0.8745117,-0.4604492,-0.4902344,-11.47461,-26.24512,-33.08105,0,0,0
