motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
28,-0.09912109,-0.7553711,0.5537109,15.56396,95.21484,134.0332,0,0,0
29,-0.4970703,-0.7255859,0.2421875,30.63965,43.5791,91.4917,0,0,0
30,-0.5234375,-0.7436523,-0.08154297,43.33496,18.61572,60.54688,0,0,0
31,-0.4233398,-0.7944336,-0.1035156,48.33984,-8.178711,34.17969,0,0,0
32,-0.4257812,-0.8613281,-0.1791992,48.46191,-9.70459,7.263184,0,0,0
33,-0.4731445,-0.7382812,-0.371582,46.20361,-17.7002,-18.9209,0,0,0
34,-0.6064453,-0.5727539,-0.5288086,41.80908,-28.25928,-42.11426,0,0,0
35,-0.7822266,-0.5014648,-0.6074219,35.27832,-23.74268,-60.30273,0,0,0
36,-0.8569336,-0.480957,-0.7548828,27.70996,-18.18848,-73.7915,0,0,0
37,-0.8754883,-0.4208984,-0.6328125,19.16504,-16.60156,-84.59473,0,0,0
38,-0.8706055,-0.2998047,-0.5234375,11.16943,-10.0708,-94.48242,0,0,0
39,-0.8666992,-0.1967773,-0.4692383,5.371094,-7.202148,-103.9429,0,0,0
40,-0.8955078,-0.1640625,-0.4086914,1.220703,-14.70947,-112.6709,0,0,0
41,-0.9731445,-0.2084961,-0.3652344,-1.77002,-25.87891,-119.9951,0,0,0
42,-0.9941406,-0.1953125,-0.28125,-3.967285,-35.21729,-124.6338,0,0,0
43,-1.288086,-0.2270508,-0.2260742,-5.554199,-44.55566,-126.77,0,0,0
44,-1.357422,-0.06933594,-0.3193359,-6.530762,-52.49023,-125.7935,0,0,0
45,-1.015625,0.06298828,-0.4550781,-7.751465,-56.21338,-121.1548,0,0,0
46,-1.267578,-0.05517578,-0.4760742,-9.521484,-45.89844,-116.5161,0,0,0
47,-1.114258,-0.05908203,-0.4897461,-13.12256,-19.83643,-110.6567,0,0,0
48,-0.7373047,-0.09570312,-0.3710938,-15.74707,6.530762,-104.7974,0,0,0
49,-0.5541992,-0.1616211,-0.4106445,-17.45605,25.63477,-103.3936,0,0,0
50,-0.6430664,-0.2841797,-0.3193359,-17.82227,32.40967,-104.9805,0,0,0
51,-0.5864258,-0.4194336,-0.472168,-17.63916,23.01025,-106.8726,0,0,0
52,-0.5908203,-0.3793945,-0.4106445,-17.08984,9.643555,-107.3608,0,0,0
53,-0.5678711,-0.3706055,-0.1069336,-16.78467,-7.629395,-106.2622,0,0,0
54,-0.6337891,-0.3730469,-0.2011719,-14.46533,-35.21729,-104.248,0,0,0
55,-0.4443359,-0.371582,-0.2304688,-14.09912,-76.41602,-102.6001,0,0,0
56,-0.5371094,-0.4291992,-0.2739258,-15.93018,-116.0278,-101.6846,0,0,0
57,-0.5043945,-0.4985352,-0.2836914,-20.62988,-146.8506,-99.60938,0,0,0
58,-0.6523438,-0.6640625,-0.1943359,-26.67236,-158.2031,-95.52002,0,0,0
59,-0.9238281,-0.9072266,-0.1875,-33.26416,-158.9355,-88.62305,0,0,0
