motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
5/5 reps and random,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
194,-0.006347656,-0.1948242,-0.8916016,-7.259369,40.25459,-21.00563,,,
195,-0.1064453,-0.1733398,-0.8735352,-11.04355,52.52266,-6.723404,,,
196,-0.184082,-0.1552734,-0.8735352,-14.9498,58.62617,8.840561,,,
197,-0.5561523,-0.1713867,-1.022461,-29.3541,70.16182,64.68773,,,
198,-1.213867,-0.2446289,-1.498535,-37.83798,82.30782,89.52904,,,
199,-2.541992,-0.04101562,-1.901855,-54.50058,121.3703,125.4787,,,
200,-5.287598,0.8823242,-2.006836,-87.88681,211.6413,186.5749,,,
201,-7.849121,-1.25293,-0.4790039,-140.4991,338.7165,301.199,,,
202,-7.255859,-4.852051,4.410156,-192.6231,339.0827,477.1633,,,
203,-4.694824,-6.49707,4.247559,-174.9229,20.96748,668.5696,,,
204,-2.782227,-7.999756,-0.4223633,-47.66464,-366.9109,818.8992,,,
205,0.3461914,-7.999756,-1.661133,82.82852,-365.8734,875.4177,,,
206,2.099609,-6.111816,-1.729492,125.5531,-151.9451,830.1296,,,
207,1.499023,-4.207031,-1.314453,119.6327,-170.7439,697.5002,,,
208,0.8217773,-3.049805,-1.157227,104.9232,-103.3001,534.1091,,,
209,-0.8769531,-0.9228516,0.1303711,-21.05331,37.75215,87.2097,,,
210,-1.151367,-1.147949,0.3422852,-16.1705,44.09981,55.59349,,,
211,-1.25293,-1.273926,0.3320312,-3.170013,35.79903,35.26878,,,
212,-1.166504,-1.14209,0.253418,7.083893,20.66231,20.74242,,,
213,-0.949707,-0.9458008,0.01660156,15.14053,29.26826,8.047104,,,
214,-0.7905273,-0.7670898,-0.1660156,19.35196,24.26338,-5.13649,,,
215,-0.7382812,-0.6279297,-0.21875,20.69473,28.04756,-18.44215,,,
216,-0.7207031,-0.5356445,-0.2172852,21.48819,36.28731,-31.25954,,,
217,-0.6723633,-0.4960938,-0.2202148,22.52579,39.33907,-43.71071,,,
218,-0.6777344,-0.5151367,-0.2636719,23.68546,43.79463,-56.46706,,,
219,-0.6035156,-0.5317383,-0.2416992,24.35684,55.26924,-69.40651,,,
220,-0.5874023,-0.5825195,-0.4233398,24.60098,63.26485,-82.89528,,,
221,-0.5195312,-0.5703125,-0.4248047,22.892,55.39131,-96.81129,,,
