motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
STRONG,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
36,-0.01171875,-0.02539062,0.8901367,-13.67188,-106.2012,-45.8374,0,0,0
37,-0.09277344,0.07861328,0.8256836,0.7324219,-59.99756,-26.9165,0,0,0
38,-0.2348633,0.1401367,0.7324219,14.52637,-18.24951,-6.347656,0,0,0
39,-0.4990234,0.1142578,0.6503906,26.55029,-1.098633,18.67676,0,0,0
40,-1.041016,-0.01660156,0.7851562,36.8042,-15.38086,50.53711,0,0,0
41,-1.726562,-0.2299805,0.769043,48.03467,-51.87988,92.59033,0,0,0
42,-2.095215,-0.5048828,1.032715,61.52344,-94.7876,148.2544,0,0,0
43,-2.588867,-0.7255859,1.261719,78.97949,-100.0366,215.332,0,0,0
44,-2.84668,-0.7583008,1.495605,100.647,-70.19043,292.1753,0,0,0
45,-2.28418,-0.7861328,1.06543,128.7231,-47.9126,380.249,0,0,0
46,-2.665039,-1.177246,0.7973633,154.9072,91.61377,474.3042,0,0,0
47,-3.346191,-2.374512,0.6640625,129.8828,467.9565,578.3691,0,0,0
48,-2.549805,-4.385742,0.7314453,15.31982,689.0869,681.0303,0,0,0
49,-2.000488,-5.211914,0.4726562,-106.0791,486.2061,739.1357,0,0,0
50,-2.063477,-4.600098,-0.3896484,-149.1089,135.498,761.4136,0,0,0
51,1.171875,-5.026855,-0.7172852,-89.05029,0.6103516,714.6606,0,0,0
52,-0.3725586,-2.436523,1.349121,-40.1001,95.58105,562.1338,0,0,0
53,0.03955078,-1.99707,0.921875,5.981445,-45.04395,397.522,0,0,0
54,-0.3955078,-1.458496,0.4165039,41.87012,-104.248,268.3716,0,0,0
55,-0.4365234,-1.488281,0.05859375,41.01562,-88.50098,176.0254,0,0,0
56,-0.6762695,-1.635742,0.05908203,36.49902,-50.90332,116.394,0,0,0
57,-0.7475586,-1.665527,0.1020508,21.54541,21.66748,79.89502,0,0,0
58,-0.6748047,-1.438477,0.4418945,10.31494,83.8623,54.01611,0,0,0
59,-0.605957,-1.19873,0.7314453,2.075195,100.708,29.84619,0,0,0
60,-0.5009766,-1.00293,0.9174805,3.540039,80.3833,4.638672,0,0,0
61,-0.4902344,-1.177734,0.9008789,10.00977,20.26367,-19.89746,0,0,0
62,-0.5541992,-0.8769531,0.6855469,18.9209,-34.91211,-42.84668,0,0,0
63,-0.5195312,-0.956543,0.5166016,24.96338,-74.646,-63.84277,0,0,0
64,-0.5605469,-0.9990234,0.3359375,27.46582,-90.02686,-83.55713,0,0,0
65,-0.5883789,-0.9404297,0.3295898,26.36719,-96.31348,-102.1118,0,0,0
66,-0.6669922,-0.8945312,0.3730469,23.01025,-109.436,-119.5679,0,0,0
