motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-bentoverrows-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
51,-0.203125,-0.953125,0,0,1.953125,0,0,0,0
52,-0.234375,-0.953125,-0.03125,0,-1.953125,0,0,0,0
53,-0.15625,-0.921875,-0.046875,0,0,0,0,0,0
54,-0.15625,-1,0,0,1.953125,0,0,0,0
55,-0.171875,-0.9375,-0.109375,1.953125,-5.859375,0,0,0,0
56,-0.265625,-1.3125,-0.03125,0,0,-1.953125,0,0,0
57,-0.109375,-0.890625,0.078125,0,1.953125,-1.953125,0,0,0
58,-0.3125,-0.96875,-0.28125,0,0,0,0,0,0
59,-0.25,-0.984375,-0.015625,0,3.90625,0,0,0,0
60,-0.171875,-0.984375,-0.03125,0,0,0,0,0,0
61,-0.203125,-0.9375,-0.046875,0,0,0,0,0,0
62,-0.203125,-1.140625,-0.0625,-1.953125,1.953125,1.953125,0,0,0
63,-0.265625,-1.203125,-0.109375,0,-1.953125,-1.953125,0,0,0
64,-0.328125,-1.28125,-0.046875,5.859375,5.859375,-7.8125,0,0,0
65,-0.25,-1.28125,-0.046875,11.71875,0,-11.71875,0,0,0
66,-0.15625,-1.234375,-0.03125,13.671875,0,-9.765625,0,0,0
67,-0.234375,-1.21875,0.015625,23.4375,-3.90625,-17.578125,0,0,0
68,-0.234375,-1.046875,0.03125,25.390625,0,-11.71875,0,0,0
69,-0.03125,-1.25,0.171875,33.203125,-5.859375,-11.71875,0,0,0
70,-0.046875,-1.09375,0.125,31.25,-3.90625,-11.71875,0,0,0
71,-0.09375,-1.015625,0.296875,19.53125,3.90625,0,0,0,0
72,-0.09375,-1.015625,0.296875,19.53125,1.953125,0,0,0,0
73,-0.046875,-0.84375,0.09375,17.578125,0,17.578125,0,0,0
74,-0.03125,-0.84375,0.25,15.625,-1.953125,21.484375,0,0,0
75,0.046875,-0.75,0.328125,9.765625,-1.953125,27.34375,0,0,0
76,-0.046875,-0.671875,0.3125,1.953125,5.859375,29.296875,0,0,0
77,-0.125,-0.75,0.421875,0,0,27.34375,0,0,0
