motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-skullcrusher,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
44,0,-0.21875,-0.96875,11.71875,1.953125,-1.953125,0,0,0
45,0,-0.21875,-0.96875,11.71875,0,-1.953125,0,0,0
46,0.0625,-0.25,-0.9375,9.765625,1.953125,0,0,0,0
47,0,-0.28125,-0.953125,7.8125,3.90625,-1.953125,0,0,0
48,0.046875,-0.3125,-0.90625,7.8125,1.953125,0,0,0,0
49,0.046875,-0.328125,-0.90625,7.8125,1.953125,-1.953125,0,0,0
50,0.046875,-0.328125,-0.890625,5.859375,1.953125,-1.953125,0,0,0
51,0.0625,-0.328125,-0.921875,3.90625,1.953125,0,0,0,0
52,0.0625,-0.359375,-0.890625,1.953125,1.953125,0,0,0,0
53,0.078125,-0.34375,-0.921875,1.953125,0,0,0,0,0
54,0.046875,-0.359375,-0.875,1.953125,1.953125,0,0,0,0
55,0.0625,-0.34375,-0.890625,0,0,0,0,0,0
56,0.078125,-0.375,-0.84375,0,0,0,0,0,0
57,0.09375,-0.375,-0.875,0,0,0,0,0,0
58,0.0625,-0.359375,-0.859375,0,0,0,0,0,0
59,0.109375,-0.359375,-0.875,0,0,0,0,0,0
60,0.03125,-0.375,-0.96875,-1.953125,0,0,0,0,0
61,0.0625,-0.390625,-0.96875,-3.90625,-1.953125,0,0,0,0
62,0.046875,-0.328125,-1.015625,-13.671875,-1.953125,1.953125,0,0,0
63,0.03125,-0.34375,-1.046875,-19.53125,-5.859375,3.90625,0,0,0
64,0.0625,-0.3125,-1.015625,-27.34375,-9.765625,5.859375,0,0,0
65,0.03125,-0.28125,-1.046875,-31.25,-7.8125,7.8125,0,0,0
66,0,-0.171875,-0.953125,-33.203125,-3.90625,3.90625,0,0,0
67,0,-0.125,-0.96875,-35.15625,-5.859375,5.859375,0,0,0
68,0,-0.03125,-0.921875,-27.34375,-5.859375,7.8125,0,0,0
69,-0.078125,0.140625,-1.015625,-29.296875,-1.953125,5.859375,0,0,0
70,-0.046875,0.109375,-0.9375,-27.34375,-3.90625,5.859375,0,0,0
71,-0.03125,0.125,-0.90625,-29.296875,-3.90625,9.765625,0,0,0
72,-0.078125,0.203125,-0.984375,-27.34375,-3.90625,5.859375,0,0,0
73,-0.078125,0.234375,-1.015625,-27.34375,-3.90625,5.859375,0,0,0
74,-0.09375,0.28125,-0.96875,-27.34375,-3.90625,5.859375,0,0,0
75,-0.0625,0.328125,-0.90625,-27.34375,-1.953125,5.859375,0,0,0
76,-0.046875,0.546875,-0.78125,-23.4375,-1.953125,5.859375,0,0,0
77,-0.078125,0.484375,-0.75,-23.4375,0,5.859375,0,0,0
78,-0.015625,0.53125,-0.6875,-23.4375,0,3.90625,0,0,0
79,-0.0625,0.625,-0.875,-19.53125,-1.953125,3.90625,0,0,0
80,-0.015625,0.515625,-0.671875,-21.484375,0,3.90625,0,0,0
81,-0.078125,0.53125,-0.734375,-13.671875,-5.859375,1.953125,0,0,0
82,-0.078125,0.671875,-0.6875,-17.578125,1.953125,3.90625,0,0,0
83,-0.078125,0.625,-0.65625,-15.625,-1.953125,-1.953125,0,0,0
84,0.046875,0.59375,-0.5625,-13.671875,-1.953125,1.953125,0,0,0
85,-0.09375,0.75,-0.640625,-15.625,1.953125,0,0,0,0
86,0.03125,0.8125,-0.46875,-15.625,0,3.90625,0,0,0
87,-0.046875,0.828125,-0.5625,-13.671875,1.953125,0,0,0,0
88,0,0.84375,-0.515625,-13.671875,0,3.90625,0,0,0
89,-0.0625,0.8125,-0.515625,-11.71875,0,0,0,0,0
90,0.015625,0.796875,-0.46875,-11.71875,0,3.90625,0,0,0
91,0.0625,0.921875,-0.3125,-11.71875,0,3.90625,0,0,0
92,0.0625,0.921875,-0.3125,-9.765625,1.953125,3.90625,0,0,0
93,0.109375,0.9375,-0.296875,-3.90625,0,1.953125,0,0,0
94,0.03125,0.953125,-0.171875,-5.859375,1.953125,0,0,0,0
95,0,0.890625,-0.15625,-1.953125,0,0,0,0,0
96,0.03125,0.9375,-0.265625,0,1.953125,0,0,0,0
97,0.140625,0.984375,-0.171875,-1.953125,1.953125,1.953125,0,0,0
98,0.015625,0.9375,-0.28125,0,0,0,0,0,0
99,0.0625,0.890625,-0.3125,0,0,0,0,0,0
100,0,0.9375,-0.359375,1.953125,0,0,0,0,0
101,0.03125,0.890625,-0.34375,1.953125,0,0,0,0,0
102,0.015625,0.921875,-0.328125,1.953125,0,0,0,0,0
103,0.046875,0.921875,-0.34375,1.953125,0,0,0,0,0
104,0.015625,0.90625,-0.34375,1.953125,0,-1.953125,0,0,0
105,0,0.859375,-0.296875,5.859375,0,-1.953125,0,0,0
106,-0.015625,0.875,-0.390625,7.8125,-7.8125,-1.953125,0,0,0
107,0,0.84375,-0.234375,9.765625,0,-3.90625,0,0,0
108,0,0.859375,-0.34375,17.578125,-1.953125,-1.953125,0,0,0
109,0,0.859375,-0.34375,17.578125,-1.953125,-1.953125,0,0,0
