motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-halfsquat-bar,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
66,0.25,0.609375,0.5625,7.8125,0,0,0,0,0
67,0.234375,0.625,0.46875,7.8125,0,1.953125,0,0,0
68,0.296875,0.640625,0.5,1.953125,0,1.953125,0,0,0
69,0.3125,0.6875,0.578125,0,-3.90625,0,0,0,0
70,0.3125,0.796875,0.578125,0,1.953125,0,0,0,0
71,0.3125,0.796875,0.484375,0,0,0,0,0,0
72,0.328125,0.71875,0.5625,1.953125,0,0,0,0,0
73,0.3125,0.765625,0.546875,1.953125,0,0,0,0,0
74,0.328125,0.75,0.53125,0,0,0,0,0,0
75,0.328125,0.78125,0.53125,1.953125,-1.953125,0,0,0,0
76,0.328125,0.765625,0.53125,0,-1.953125,0,0,0,0
77,0.296875,0.65625,0.484375,0,-1.953125,0,0,0,0
78,0.296875,0.71875,0.5,0,-3.90625,0,0,0,0
79,0.296875,0.71875,0.578125,-1.953125,1.953125,0,0,0,0
80,0.28125,0.71875,0.546875,-3.90625,5.859375,0,0,0,0
81,0.3125,0.75,0.5,-7.8125,5.859375,-1.953125,0,0,0
82,0.296875,0.6875,0.515625,-7.8125,1.953125,-3.90625,0,0,0
83,0.328125,0.703125,0.546875,-5.859375,3.90625,-1.953125,0,0,0
84,0.3125,0.71875,0.5,-3.90625,0,-1.953125,0,0,0
85,0.3125,0.71875,0.625,-7.8125,3.90625,-1.953125,0,0,0
86,0.296875,0.71875,0.671875,-5.859375,0,0,0,0,0
87,0.28125,0.71875,0.703125,-5.859375,1.953125,0,0,0,0
88,0.28125,0.765625,0.640625,-3.90625,0,0,0,0,0
89,0.265625,0.734375,0.6875,-3.90625,0,-1.953125,0,0,0
90,0.265625,0.734375,0.703125,-7.8125,1.953125,0,0,0,0
91,0.28125,0.703125,0.734375,-5.859375,0,-1.953125,0,0,0
92,0.265625,0.671875,0.75,-3.90625,0,0,0,0,0
93,0.203125,0.671875,0.71875,-1.953125,0,0,0,0,0
94,0.234375,0.671875,0.796875,0,0,0,0,0,0
95,0.21875,0.6875,0.75,0,0,0,0,0,0
96,0.25,0.65625,0.8125,0,0,0,0,0,0
97,0.25,0.734375,0.84375,0,-1.953125,0,0,0,0
98,0.28125,0.734375,0.875,-1.953125,0,0,0,0,0
