motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-deadlift-70,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
76,-0.234375,-0.875,0.3125,0,0,0,0,0,0
77,-0.234375,-0.890625,0.3125,0,0,0,0,0,0
78,-0.25,-0.875,0.28125,0,0,0,0,0,0
79,-0.234375,-0.875,0.296875,0,0,0,0,0,0
80,-0.234375,-0.875,0.3125,0,0,0,0,0,0
81,-0.234375,-0.875,0.265625,0,0,0,0,0,0
82,-0.234375,-0.875,0.328125,0,0,0,0,0,0
83,-0.234375,-0.890625,0.3125,0,0,0,0,0,0
84,-0.25,-0.890625,0.3125,0,0,0,0,0,0
85,-0.25,-0.875,0.296875,0,0,0,0,0,0
86,-0.234375,-0.875,0.296875,0,0,0,0,0,0
87,-0.234375,-0.875,0.3125,0,0,0,0,0,0
88,-0.25,-0.859375,0.3125,0,0,0,0,0,0
89,-0.21875,-0.859375,0.3125,0,0,0,0,0,0
90,-0.234375,-0.875,0.296875,0,0,0,0,0,0
91,-0.234375,-0.875,0.3125,0,0,0,0,0,0
92,-0.234375,-0.875,0.3125,0,0,0,0,0,0
93,-0.234375,-0.875,0.296875,0,0,0,0,0,0
94,-0.21875,-0.875,0.296875,0,0,0,0,0,0
95,-0.21875,-0.875,0.34375,0,0,0,0,0,0
96,-0.265625,-0.890625,0.328125,0,0,-1.953125,0,0,0
97,-0.1875,-0.875,0.28125,-1.953125,-1.953125,0,0,0,0
98,-0.25,-0.84375,0.3125,-3.90625,0,0,0,0,0
99,-0.203125,-0.828125,0.234375,-7.8125,1.953125,0,0,0,0
100,-0.171875,-0.796875,0.015625,-3.90625,9.765625,0,0,0,0
101,0.0625,-0.6875,0.03125,1.953125,1.953125,7.8125,0,0,0
102,-0.25,-0.890625,0,-1.953125,11.71875,0,0,0,0
103,-0.265625,-1.015625,-0.078125,0,9.765625,-3.90625,0,0,0
104,-0.1875,-0.875,0.15625,0,9.765625,-1.953125,0,0,0
105,-0.203125,-0.890625,0.046875,0,9.765625,-1.953125,0,0,0
106,-0.21875,-0.890625,0.0625,0,19.53125,0,0,0,0
107,-0.203125,-0.890625,0.015625,0,15.625,1.953125,0,0,0
108,-0.3125,-0.90625,0.109375,0,25.390625,1.953125,0,0,0
109,-0.3125,-0.875,0,0,11.71875,1.953125,0,0,0
110,-0.21875,-0.921875,-0.125,-1.953125,9.765625,3.90625,0,0,0
111,-0.15625,-1,-0.15625,-5.859375,17.578125,3.90625,0,0,0
112,-0.265625,-1.015625,-0.09375,-5.859375,15.625,3.90625,0,0,0
113,-0.109375,-1.0625,-0.015625,-3.90625,-1.953125,0,0,0,0
114,-0.21875,-0.890625,-0.140625,-3.90625,13.671875,0,0,0,0
115,-0.25,-0.84375,-0.265625,-7.8125,19.53125,0,0,0,0
116,-0.328125,-0.890625,-0.03125,-5.859375,0,0,0,0,0
117,-0.375,-0.890625,0.15625,0,-7.8125,0,0,0,0
118,-0.4375,-0.9375,0.1875,5.859375,-7.8125,0,0,0,0
119,-0.265625,-0.890625,-0.078125,9.765625,0,0,0,0,0
120,-0.234375,-0.859375,-0.046875,5.859375,3.90625,0,0,0,0
121,-0.140625,-0.9375,-0.03125,-1.953125,-11.71875,0,0,0,0
122,-0.1875,-0.921875,0.078125,0,-7.8125,0,0,0,0
123,-0.25,-0.921875,0.015625,-1.953125,-3.90625,0,0,0,0
124,-0.296875,-0.9375,-0.171875,0,-13.671875,0,0,0,0
125,-0.21875,-0.96875,0.125,1.953125,1.953125,0,0,0,0
