motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Upper Cut - Right 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
112,0.6041,0.44687,-0.1668,0.58334,-26.06384,3.06735,0,0,0
113,0.57242,0.37199,-0.2212,-13.13665,-24.46384,8.30735,0,0,0
114,0.56122,0.29455,-0.22632,-12.45665,-24.94384,10.14735,0,0,0
115,0.54554,0.27503,-0.22728,-0.85665,-24.54384,10.06735,0,0,0
116,0.5449,0.37487,-0.20584,14.66334,-19.54384,8.82735,0,0,0
117,0.54682,0.43567,-0.20872,9.86334,-14.90384,9.50735,0,0,0
118,0.54298,0.38959,-0.23976,-7.97665,-8.58384,10.34735,0,0,0
119,0.52154,0.32047,-0.2644,-9.41665,-5.94384,10.38735,0,0,0
120,0.51578,0.35151,-0.2468,0.18334,-5.10384,9.14735,0,0,0
121,0.50874,0.36463,-0.25,5.66334,-4.02384,7.74735,0,0,0
122,0.49818,0.39087,-0.23752,-1.57665,0.41615,6.54735,0,0,0
123,0.48218,0.38063,-0.24968,-3.37665,1.77615,6.30735,0,0,0
124,0.47386,0.35151,-0.24584,-3.45665,3.21615,4.50735,0,0,0
125,0.46746,0.37007,-0.24296,-2.25665,3.01615,3.02735,0,0,0
126,0.4681,0.37519,-0.2276,-2.81665,2.65615,2.54735,0,0,0
127,0.46938,0.37711,-0.22152,-6.41665,1.85615,1.42735,0,0,0
128,0.46202,0.36335,-0.242,-8.69665,0.93615,0.70735,0,0,0
129,0.4665,0.35599,-0.25096,-7.41665,-1.58384,0.18735,0,0,0
130,0.48282,0.33807,-0.25096,-5.97665,-2.94384,-0.01264,0,0,0
131,0.48538,0.37423,-0.24936,-2.69665,-4.46384,-0.93264,0,0,0
132,0.4601,0.40367,-0.23112,-4.65665,-4.98384,-0.81264,0,0,0
133,0.46682,0.37327,-0.24392,-10.81665,-5.06384,0.34735,0,0,0
134,0.47706,0.36463,-0.26312,-8.37665,-5.14384,0.26735,0,0,0
135,0.48186,0.38063,-0.25704,-2.57665,-5.94384,1.02735,0,0,0
136,0.47578,0.40143,-0.24104,-1.17665,-6.10384,2.14735,0,0,0
137,0.47482,0.41295,-0.25416,-3.85665,-6.38384,4.42735,0,0,0
138,0.47738,0.40623,-0.24104,-8.13665,-5.94384,5.82735,0,0,0
139,0.47802,0.38799,-0.23688,-8.65665,-5.30384,5.82735,0,0,0
140,0.46426,0.36783,-0.25192,-5.93665,-4.38384,5.06735,0,0,0
141,0.46586,0.37519,-0.25096,-1.09665,-4.18384,4.06735,0,0,0
142,0.46842,0.37999,-0.23304,0.70334,-3.74384,2.58735,0,0,0
143,0.47066,0.37071,-0.2372,0.46334,-3.18384,1.66735,0,0,0
144,0.47802,0.36495,-0.23688,-0.77665,-1.98384,-0.45264,0,0,0
145,0.47802,0.34991,-0.24392,-0.53665,-0.14384,-2.69264,0,0,0
146,0.48602,0.35887,-0.23176,0.30334,0.65615,-3.73264,0,0,0
147,0.50586,0.35951,-0.24328,0.34334,1.49615,-4.85264,0,0,0
148,0.55482,0.31087,-0.2788,-0.41665,1.57615,-5.57264,0,0,0
149,0.59226,0.28079,-0.28072,9.14334,4.89615,-9.33264,0,0,0
150,1.00218,0.10287,-0.17896,27.26334,19.49615,-11.57264,0,0,0
151,2.5097,0.15855,0.62552,64.46334,103.13615,-13.89264,0,0,0
152,2.69306,0.04047,0.91576,43.02334,126.85615,0.06735,0,0,0
153,2.81146,-0.81137,1.078,-24.93665,165.41615,40.90735,0,0,0
154,2.4281,-1.73937,0.58648,-32.33665,165.25615,41.70735,0,0,0
155,1.75546,-1.75697,0.35384,1.34334,135.89615,15.38735,0,0,0
156,1.07418,-1.00497,0.53464,59.30334,18.37615,-68.81264,0,0,0
157,0.54714,0.17519,0.80248,3.86334,-112.98385,-148.09265,0,0,0
158,-1.9255,1.23535,-0.57672,-175.69666,-213.86385,-213.97264,0,0,0
159,-4.25382,2.38447,-2.35144,-255.97665,-280.66385,-241.05264,0,0,0
160,-5.0743,1.11503,-1.68424,-99.21666,-312.18384,-267.29263,0,0,0
161,-2.7335,0.73519,-1.70632,220.02335,-156.30385,-18.49264,0,0,0
162,-1.74086,1.61743,-1.37544,347.46335,-41.10384,70.14735,0,0,0
163,-0.35142,2.92207,0.7484,266.18335,149.97615,114.62735,0,0,0
164,-0.45062,0.28911,0.06072,-156.81667,168.05617,96.34735,0,0,0
