motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
114,-0.265625,1.078125,0.265625,39.0625,-15.625,-21.484375,,,
115,-0.4375,0.921875,0,29.296875,-21.484375,-1.953125,,,
116,-0.3125,0.8125,0.171875,21.484375,-13.671875,1.953125,,,
117,-0.265625,0.796875,0.140625,7.8125,-13.671875,23.4375,,,
118,-0.21875,0.828125,0.234375,11.71875,-1.953125,31.25,,,
119,-0.1875,0.875,-0.015625,5.859375,-19.53125,31.25,,,
120,-0.15625,0.734375,0.28125,-3.90625,-13.671875,21.484375,,,
121,-0.234375,0.75,0,-21.484375,-3.90625,13.671875,,,
122,-0.34375,0.6875,0.0625,-19.53125,-7.8125,23.4375,,,
123,-0.296875,0.703125,0.078125,-17.578125,-7.8125,29.296875,,,
124,-0.28125,0.75,0.109375,-3.90625,-3.90625,23.4375,,,
125,-0.234375,0.84375,0.15625,-11.71875,0,27.34375,,,
126,-0.234375,0.875,0.109375,-5.859375,-1.953125,11.71875,,,
127,-0.28125,0.828125,0.1875,-7.8125,5.859375,-9.765625,,,
128,-0.328125,0.765625,0.0625,5.859375,0,-27.34375,,,
129,-0.28125,0.703125,0.21875,1.953125,1.953125,-29.296875,,,
130,-0.296875,0.703125,0.109375,3.90625,15.625,-35.15625,,,
131,-0.296875,0.703125,0.265625,5.859375,11.71875,-42.96875,,,
132,-0.359375,0.71875,0.203125,9.765625,25.390625,-23.4375,,,
133,-0.359375,0.71875,0.203125,9.765625,23.4375,-27.34375,,,
134,-0.359375,0.765625,0.046875,0,25.390625,-19.53125,,,
135,-0.375,0.71875,0.125,3.90625,19.53125,-15.625,,,
136,-0.328125,0.78125,0.0625,1.953125,27.34375,-15.625,,,
137,-0.375,0.796875,0.109375,9.765625,23.4375,-11.71875,,,
138,-0.359375,0.8125,0.0625,5.859375,29.296875,-7.8125,,,
139,-0.421875,0.90625,0,3.90625,23.4375,0,,,
140,-0.3125,0.9375,0.046875,-1.953125,1.953125,7.8125,,,
141,-0.375,0.953125,0.0625,-9.765625,-11.71875,19.53125,,,
142,-0.359375,0.9375,0.03125,-17.578125,-21.484375,29.296875,,,
143,-0.484375,1.328125,-0.03125,-41.015625,-13.671875,19.53125,,,
144,-0.453125,1.421875,0,-35.15625,-7.8125,15.625,,,
145,-0.453125,1.484375,0.171875,-23.4375,-15.625,3.90625,,,
146,-0.484375,1.4375,0.140625,0,-11.71875,-3.90625,,,
147,-0.40625,1.28125,0.25,13.671875,-15.625,-5.859375,,,
148,-0.390625,1.15625,0.15625,29.296875,1.953125,-9.765625,,,
149,-0.375,1.125,0.265625,35.15625,17.578125,-5.859375,,,
150,-0.34375,1.125,0.15625,37.109375,17.578125,-5.859375,,,
151,-0.28125,1.078125,0.3125,29.296875,15.625,5.859375,,,
152,-0.3125,1.03125,0.078125,23.4375,5.859375,7.8125,,,
153,-0.234375,0.890625,-0.15625,-19.53125,3.90625,19.53125,,,
154,-0.234375,0.890625,-0.15625,-21.484375,7.8125,21.484375,,,
155,-0.25,0.8125,0.015625,-33.203125,-1.953125,23.4375,,,
156,-0.109375,0.859375,-0.046875,-33.203125,13.671875,25.390625,,,
157,-0.1875,0.71875,0.140625,-35.15625,-1.953125,27.34375,,,
158,-0.109375,0.78125,0,-25.390625,-5.859375,29.296875,,,
159,-0.15625,0.703125,0.125,-21.484375,-27.34375,29.296875,,,
160,-0.109375,0.703125,0.15625,-19.53125,-25.390625,25.390625,,,
161,-0.21875,0.6875,0.1875,-15.625,-29.296875,19.53125,,,
162,-0.28125,0.671875,0.171875,-3.90625,-35.15625,1.953125,,,
163,-0.25,0.640625,0.296875,-5.859375,-27.34375,-7.8125,,,
164,-0.234375,0.796875,0.21875,7.8125,25.390625,-37.109375,,,
165,-0.234375,0.703125,0.3125,11.71875,19.53125,-35.15625,,,
166,-0.203125,0.671875,0.125,25.390625,52.734375,-39.0625,,,
167,-0.15625,0.546875,0.25,48.828125,46.875,-29.296875,,,
168,-0.171875,0.6875,0.125,58.59375,35.15625,-23.4375,,,
169,-0.296875,0.71875,0.046875,58.59375,42.96875,-23.4375,,,
170,-0.359375,0.8125,0.171875,41.015625,37.109375,-13.671875,,,
171,-0.390625,0.859375,-0.0625,31.25,31.25,-19.53125,,,
172,-0.390625,0.890625,0.125,9.765625,15.625,-11.71875,,,
173,-0.34375,0.984375,-0.203125,1.953125,21.484375,-13.671875,,,
174,-0.265625,0.96875,-0.1875,-11.71875,-25.390625,11.71875,,,
175,-0.265625,0.96875,-0.1875,-11.71875,-21.484375,11.71875,,,
176,-0.203125,1.03125,-0.046875,-15.625,-31.25,17.578125,,,
177,-0.375,1.0625,-0.21875,-15.625,-13.671875,17.578125,,,
178,-0.359375,1.25,0,-33.203125,-7.8125,15.625,,,
179,-0.515625,1.421875,-0.25,-25.390625,1.953125,5.859375,,,
180,-0.5625,1.484375,0.03125,-15.625,-1.953125,0,,,
181,-0.609375,1.46875,-0.015625,0,3.90625,-15.625,,,
182,-0.5,1.3125,0.09375,9.765625,3.90625,-17.578125,,,
183,-0.453125,1.1875,0.0625,23.4375,11.71875,-17.578125,,,
184,-0.359375,1.1875,0.09375,29.296875,21.484375,-9.765625,,,
185,-0.328125,1.03125,-0.09375,35.15625,-3.90625,13.671875,,,
186,-0.1875,0.9375,0.140625,23.4375,-7.8125,21.484375,,,
187,-0.21875,0.890625,-0.15625,7.8125,-7.8125,17.578125,,,
188,-0.203125,0.8125,0.0625,-11.71875,-25.390625,21.484375,,,
189,-0.234375,0.828125,-0.203125,-27.34375,-19.53125,11.71875,,,
190,-0.140625,0.703125,0.0625,-35.15625,-31.25,19.53125,,,
191,-0.265625,0.734375,-0.140625,-37.109375,-27.34375,15.625,,,
192,-0.15625,0.6875,0.0625,-31.25,-33.203125,21.484375,,,
193,-0.265625,0.734375,0,-25.390625,-21.484375,19.53125,,,
194,-0.296875,0.703125,0.109375,-23.4375,-31.25,21.484375,,,
195,-0.3125,0.71875,0.1875,-11.71875,-3.90625,0,,,
196,-0.296875,0.71875,0.21875,-9.765625,0,0,,,
