motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_jared_2,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
303,-0.078125,1.28125,-0.125,-50.78125,-11.71875,25.390625,,,
304,-0.0625,1.5,0,-25.390625,0,23.4375,,,
305,-0.171875,1.75,0.015625,0,0,0,,,
306,-0.109375,1.328125,-0.03125,11.71875,0,-33.203125,,,
307,-0.109375,1.328125,-0.03125,11.71875,-1.953125,-33.203125,,,
308,0.046875,1.203125,0,7.8125,-19.53125,-17.578125,,,
309,0.078125,1.1875,-0.03125,11.71875,-15.625,-7.8125,,,
310,0,1.03125,0,1.953125,7.8125,-13.671875,,,
311,0.03125,0.75,0,1.953125,-23.4375,-7.8125,,,
312,-0.015625,0.796875,0,0,-3.90625,1.953125,,,
313,0.046875,0.75,0,-3.90625,-27.34375,9.765625,,,
314,-0.09375,0.8125,0,-13.671875,-9.765625,3.90625,,,
315,-0.078125,0.78125,0.0625,-7.8125,-13.671875,11.71875,,,
316,-0.1875,0.671875,0,-21.484375,-1.953125,0,,,
317,-0.296875,0.609375,-0.03125,-9.765625,-27.34375,0,,,
318,-0.375,0.6875,0,-5.859375,-17.578125,-13.671875,,,
319,-0.265625,0.75,-0.078125,5.859375,-7.8125,-11.71875,,,
320,-0.15625,0.65625,0,58.59375,9.765625,0,,,
321,-1.109375,1.515625,-0.34375,-60.546875,-23.4375,-7.8125,,,
322,-0.21875,1.25,0.125,-23.4375,3.90625,21.484375,,,
323,-0.046875,1.140625,0.015625,0,13.671875,1.953125,,,
324,-0.203125,0.75,-0.015625,3.90625,-1.953125,9.765625,,,
325,-0.328125,0.890625,-0.078125,5.859375,-3.90625,7.8125,,,
326,-0.28125,0.859375,-0.015625,5.859375,1.953125,7.8125,,,
327,-0.21875,0.625,-0.015625,23.4375,17.578125,-1.953125,,,
