motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-pullover-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
68,0.296875,0.09375,-0.984375,5.859375,-1.953125,0,0,0,0
69,0.390625,0.09375,-0.90625,1.953125,0,0,0,0,0
70,0.3125,0.0625,-0.953125,3.90625,-3.90625,0,0,0,0
71,0.3125,0.078125,-0.953125,0,0,0,0,0,0
72,0.3125,0.109375,-0.875,0,-1.953125,0,0,0,0
73,0.28125,0.078125,-0.90625,0,0,0,0,0,0
74,0.25,0.0625,-1,0,0,0,0,0,0
75,0.25,0.0625,-0.90625,0,0,0,0,0,0
76,0.390625,0.03125,-0.96875,0,-1.953125,1.953125,0,0,0
77,0.3125,0.0625,-0.890625,0,0,0,0,0,0
78,0.328125,0.078125,-1,0,0,0,0,0,0
79,0.296875,0.0625,-1.015625,0,-1.953125,-1.953125,0,0,0
80,0.296875,0.109375,-1.015625,-3.90625,1.953125,-1.953125,0,0,0
81,0.34375,0.046875,-1.046875,-3.90625,0,0,0,0,0
82,0.28125,0.09375,-1.0625,-7.8125,0,0,0,0,0
83,0.328125,0.125,-1.015625,-15.625,0,-3.90625,0,0,0
84,0.34375,0.109375,-0.984375,-19.53125,0,-3.90625,0,0,0
85,0.265625,0.140625,-1.046875,-17.578125,-1.953125,-3.90625,0,0,0
86,0.3125,0.203125,-0.984375,-21.484375,0,-3.90625,0,0,0
87,0.28125,0.1875,-0.984375,-23.4375,1.953125,-1.953125,0,0,0
88,0.234375,0.28125,-0.890625,-23.4375,1.953125,-3.90625,0,0,0
89,0.328125,0.21875,-0.890625,-23.4375,-7.8125,0,0,0,0
90,0.234375,0.296875,-0.8125,-23.4375,0,-3.90625,0,0,0
91,0.328125,0.34375,-0.8125,-23.4375,0,-1.953125,0,0,0
92,0.3125,0.40625,-0.71875,-21.484375,0,0,0,0,0
93,0.328125,0.46875,-0.828125,-17.578125,0,-1.953125,0,0,0
94,0.328125,0.46875,-0.90625,-17.578125,0,0,0,0,0
95,0.296875,0.453125,-0.703125,-17.578125,3.90625,-5.859375,0,0,0
96,0.296875,0.546875,-0.75,-19.53125,-1.953125,-3.90625,0,0,0
97,0.3125,0.5625,-0.796875,-17.578125,3.90625,-1.953125,0,0,0
98,0.296875,0.578125,-0.703125,-21.484375,1.953125,-3.90625,0,0,0
99,0.34375,0.59375,-0.796875,-19.53125,1.953125,0,0,0,0
100,0.21875,0.609375,-0.65625,-23.4375,1.953125,-1.953125,0,0,0
101,0.25,0.625,-0.71875,-23.4375,1.953125,-1.953125,0,0,0
102,0.265625,0.640625,-0.6875,-21.484375,1.953125,-3.90625,0,0,0
103,0.265625,0.671875,-0.609375,-23.4375,0,-3.90625,0,0,0
104,0.265625,0.75,-0.453125,-25.390625,5.859375,-3.90625,0,0,0
105,0.265625,0.765625,-0.515625,-23.4375,1.953125,0,0,0,0
106,0.265625,0.8125,-0.375,-23.4375,5.859375,-1.953125,0,0,0
107,0.21875,0.8125,-0.4375,-21.484375,1.953125,-1.953125,0,0,0
108,0.265625,0.828125,-0.375,-21.484375,3.90625,-1.953125,0,0,0
109,0.21875,0.859375,-0.359375,-19.53125,0,-5.859375,0,0,0
110,0.34375,0.8125,-0.375,-17.578125,0,-1.953125,0,0,0
111,0.203125,0.875,-0.234375,-17.578125,1.953125,-5.859375,0,0,0
112,0.265625,0.890625,-0.328125,-17.578125,0,-3.90625,0,0,0
113,0.25,0.90625,-0.21875,-15.625,1.953125,-1.953125,0,0,0
114,0.25,0.9375,-0.171875,-9.765625,3.90625,-1.953125,0,0,0
115,0.25,0.9375,-0.171875,-9.765625,3.90625,-1.953125,0,0,0
116,0.25,0.921875,-0.09375,-7.8125,0,0,0,0,0
117,0.21875,0.9375,-0.125,-5.859375,1.953125,-3.90625,0,0,0
118,0.203125,0.96875,-0.0625,-3.90625,1.953125,-1.953125,0,0,0
119,0.171875,1,-0.140625,-3.90625,3.90625,-1.953125,0,0,0
120,0.171875,0.953125,-0.0625,-3.90625,3.90625,-1.953125,0,0,0
121,0.171875,0.9375,-0.1875,0,0,-1.953125,0,0,0
122,0.21875,0.953125,-0.046875,-1.953125,0,0,0,0,0
123,0.171875,0.96875,-0.09375,0,0,0,0,0,0
124,0.140625,0.984375,-0.15625,0,0,-1.953125,0,0,0
125,0.1875,0.96875,-0.09375,0,0,0,0,0,0
126,0.203125,0.953125,-0.109375,0,0,0,0,0,0
127,0.171875,0.984375,-0.078125,0,0,0,0,0,0
128,0.15625,0.984375,-0.109375,1.953125,0,0,0,0,0
