motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-shoulderpress-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
146,0.15625,0.984375,0.015625,5.859375,0,-5.859375,0,0,0
147,0.15625,0.96875,0,7.8125,0,-7.8125,0,0,0
148,0.09375,1.0625,-0.125,11.71875,-5.859375,-5.859375,0,0,0
149,0.046875,1.03125,-0.140625,7.8125,-5.859375,-7.8125,0,0,0
150,0.09375,1,-0.03125,7.8125,-1.953125,-5.859375,0,0,0
151,0.09375,0.984375,-0.078125,5.859375,0,-5.859375,0,0,0
152,0.09375,0.9375,-0.125,7.8125,0,-5.859375,0,0,0
153,0,0.953125,-0.09375,5.859375,0,-5.859375,0,0,0
154,0.03125,0.890625,-0.09375,3.90625,0,-3.90625,0,0,0
155,-0.03125,0.890625,-0.15625,3.90625,0,-5.859375,0,0,0
156,-0.03125,1,-0.125,3.90625,0,-1.953125,0,0,0
157,0,0.90625,-0.140625,5.859375,0,-1.953125,0,0,0
158,0,0.84375,-0.140625,5.859375,0,-3.90625,0,0,0
159,-0.015625,0.921875,-0.171875,1.953125,0,-5.859375,0,0,0
160,-0.015625,0.921875,-0.171875,0,0,-5.859375,0,0,0
161,0.015625,0.90625,-0.15625,-1.953125,0,-5.859375,0,0,0
162,-0.046875,0.90625,-0.25,-5.859375,0,-7.8125,0,0,0
163,-0.0625,0.9375,-0.234375,-7.8125,0,-5.859375,0,0,0
164,-0.0625,0.90625,-0.125,-9.765625,0,-5.859375,0,0,0
165,-0.125,0.96875,-0.21875,-11.71875,1.953125,-5.859375,0,0,0
166,-0.078125,0.953125,-0.09375,-13.671875,3.90625,-1.953125,0,0,0
167,-0.140625,0.953125,-0.140625,-9.765625,0,1.953125,0,0,0
168,-0.078125,0.984375,0.046875,-15.625,0,1.953125,0,0,0
169,-0.078125,0.984375,-0.078125,-17.578125,0,1.953125,0,0,0
170,-0.0625,0.96875,0.046875,-17.578125,-1.953125,1.953125,0,0,0
171,-0.078125,1.03125,0,-19.53125,-1.953125,1.953125,0,0,0
172,-0.015625,1,0.09375,-19.53125,0,5.859375,0,0,0
173,-0.046875,1.09375,0.078125,-19.53125,0,5.859375,0,0,0
174,-0.046875,1.03125,0.15625,-19.53125,-1.953125,5.859375,0,0,0
175,-0.015625,1,0.1875,-19.53125,0,5.859375,0,0,0
176,0,1,0.359375,-11.71875,0,5.859375,0,0,0
177,0,1,0.359375,-11.71875,0,5.859375,0,0,0
178,0,1.0625,0.359375,-7.8125,0,3.90625,0,0,0
179,0,1.03125,0.359375,-3.90625,0,3.90625,0,0,0
180,0,1,0.359375,0,0,1.953125,0,0,0
181,0.015625,0.953125,0.34375,1.953125,0,1.953125,0,0,0
182,0,0.953125,0.328125,0,0,0,0,0,0
183,0.03125,0.953125,0.28125,0,0,1.953125,0,0,0
184,0.046875,0.9375,0.296875,0,0,0,0,0,0
185,0.046875,0.96875,0.328125,-3.90625,0,0,0,0,0
186,0.03125,0.96875,0.359375,-1.953125,0,0,0,0,0
187,0.0625,0.953125,0.359375,0,0,0,0,0,0
188,0.046875,0.921875,0.375,0,0,0,0,0,0
189,0.046875,0.9375,0.375,0,0,0,0,0,0
190,-0.03125,1.1875,0.25,25.390625,3.90625,-13.671875,0,0,0
191,-0.03125,1.1875,0.25,27.34375,3.90625,-13.671875,0,0,0
192,-0.078125,1.078125,0.1875,25.390625,3.90625,-13.671875,0,0,0
193,-0.09375,1.046875,0.171875,23.4375,3.90625,-13.671875,0,0,0
