motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-bicepcurls-20,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
80,0.6875,-0.75,-0.265625,-7.8125,0,-7.8125,0,0,0
81,0.703125,-0.75,-0.265625,-7.8125,0,-9.765625,0,0,0
82,0.8125,-0.71875,-0.34375,-21.484375,-1.953125,-29.296875,0,0,0
83,0.890625,-0.71875,-0.40625,-29.296875,-1.953125,-39.0625,0,0,0
84,0.96875,-0.546875,-0.46875,-44.921875,-3.90625,-64.453125,0,0,0
85,0.953125,-0.34375,-0.46875,-48.828125,0,-72.265625,0,0,0
86,0.9375,-0.234375,-0.46875,-48.828125,0,-72.265625,0,0,0
87,0.734375,0.1875,-0.375,-39.0625,0,-60.546875,0,0,0
88,0.71875,0.25,-0.390625,-37.109375,1.953125,-52.734375,0,0,0
89,0.640625,0.46875,-0.34375,-25.390625,1.953125,-44.921875,0,0,0
90,0.578125,0.5625,-0.28125,-25.390625,1.953125,-39.0625,0,0,0
91,0.5,0.71875,-0.21875,-21.484375,1.953125,-29.296875,0,0,0
92,0.421875,0.765625,-0.171875,-17.578125,5.859375,-21.484375,0,0,0
93,0.453125,0.71875,-0.171875,9.765625,0,13.671875,0,0,0
94,0.453125,0.734375,-0.1875,9.765625,-1.953125,15.625,0,0,0
95,0.53125,0.71875,-0.21875,15.625,-1.953125,23.4375,0,0,0
96,0.53125,0.65625,-0.234375,19.53125,0,29.296875,0,0,0
97,0.625,0.546875,-0.25,25.390625,0,39.0625,0,0,0
98,0.65625,0.5,-0.359375,27.34375,-1.953125,44.921875,0,0,0
99,0.71875,0.40625,-0.328125,29.296875,0,48.828125,0,0,0
100,0.71875,0.375,-0.359375,31.25,1.953125,52.734375,0,0,0
101,0.828125,0.21875,-0.453125,33.203125,0,54.6875,0,0,0
102,0.90625,-0.015625,-0.40625,35.15625,1.953125,58.59375,0,0,0
103,0.90625,-0.125,-0.46875,35.15625,5.859375,56.640625,0,0,0
