motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
153,1.8489,0.21679,0.06808,-38.56,104.44125,18.3275,0,0,0
154,2.53594,-0.00881,0.0604,-104.04,159.88126,55.9275,0,0,0
155,2.7193,-0.18001,-0.18056,-147.44,190.80124,85.2075,0,0,0
156,2.7385,-0.65105,-0.75752,-170.44,200.64124,104.9275,0,0,0
157,2.64634,-0.76369,-0.86216,-172.12,201.88124,106.8075,0,0,0
158,2.2633,-0.19921,-0.95272,-202.08,193.08124,92.7275,0,0,0
159,1.56762,1.00463,-0.84904,-346.28,192.20123,21.2875,0,0,0
160,0.81402,-0.35313,-1.04296,-452.72,254.28123,-154.1125,0,0,0
161,-0.6983,-0.93521,-0.77672,-427.76,297.88123,-246.1125,0,0,0
162,-6.49926,1.38191,1.35576,-271.64,334.68124,-341.47247,0,0,0
163,-5.17222,1.51087,1.00536,-232.84,176.56123,-300.5125,0,0,0
164,-3.57894,0.30191,-0.65544,-273.88,39.72125,-199.3525,0,0,0
165,-0.4583,-3.14257,0.08344,-51.88,-131.55875,26.4075,0,0,0
166,-0.34534,1.01775,-0.38056,236.96,-56.35875,189.4075,0,0,0
167,-0.05446,2.07503,0.48664,159.44,-24.79875,177.0475,0,0,0
168,-0.18342,-1.93201,0.31928,-51.88,25.68125,-32.9125,0,0,0
169,-0.50918,-0.08753,0.70392,137.68,24.60125,-47.6725,0,0,0
170,-0.43654,0.24783,0.77272,155.6,11.32125,-38.6725,0,0,0
171,-0.08166,0.22063,0.87352,78.32,-8.63875,6.5675,0,0,0
172,-0.0647,-0.07441,0.8844,11.32,-4.15875,27.8075,0,0,0
173,-0.14438,-0.27153,0.8108,0.16,-3.15875,28.2875,0,0,0
174,-0.28134,-0.40881,0.78232,20.88,-11.99875,29.1275,0,0,0
175,-0.23462,-0.19601,0.79704,66.92,-26.27875,35.5275,0,0,0
176,-0.2567,0.01807,0.80952,80.44,-31.11875,40.1675,0,0,0
177,-0.30438,-0.03473,0.80376,77.76,-39.47875,43.1275,0,0,0
178,-0.38566,-0.07377,0.72504,68.08,-50.71875,49.1275,0,0,0
179,-0.38342,-0.18993,0.60056,89.08,-62.39875,47.4875,0,0,0
180,-0.31878,-0.18993,0.55928,110.84,-67.19875,44.9275,0,0,0
181,-0.17798,0.33199,0.4604,174.64,-60.75875,48.4075,0,0,0
182,-0.17318,0.37999,0.43768,167.6,-57.91875,50.5275,0,0,0
183,-0.16166,0.30127,0.3484,145.92,-58.11875,51.1675,0,0,0
184,0.00506,0.16175,0.24536,142,-66.95875,49.7275,0,0,0
185,0.16154,0.22671,0.21912,171.76,-67.95875,45.1675,0,0,0
186,0.16602,0.37679,0.14456,189.84,-65.43875,42.0475,0,0,0
