motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
163,-0.03125,0.15625,0.984375,0,0,0,0,0,0
164,-0.015625,0.140625,1,0,0,0,0,0,0
165,-0.03125,0.171875,1,0,0,0,0,0,0
166,-0.03125,0.15625,1,0,0,0,0,0,0
167,-0.03125,0.15625,1,0,0,0,0,0,0
168,-0.03125,0.140625,1,0,0,0,0,0,0
169,-0.03125,0.15625,0.984375,0,0,0,0,0,0
170,-0.03125,0.140625,1,0,0,0,0,0,0
171,-0.03125,0.15625,0.984375,0,0,0,0,0,0
172,-0.03125,0.15625,1.015625,0,0,0,0,0,0
173,-0.046875,0.15625,0.984375,0,0,0,0,0,0
174,-0.046875,0.15625,0.984375,0,0,0,0,0,0
175,-0.03125,0.15625,1.015625,1.953125,0,0,0,0,0
176,-0.03125,0.140625,0.984375,0,0,0,0,0,0
177,-0.03125,0.15625,0.96875,0,0,0,0,0,0
178,-0.03125,0.15625,1,0,0,0,0,0,0
179,-0.015625,0.140625,1,0,0,0,0,0,0
180,-0.03125,0.15625,0.984375,0,0,0,0,0,0
181,-0.046875,0.15625,0.984375,0,0,0,0,0,0
182,-0.03125,0.140625,1,0,0,0,0,0,0
183,-0.03125,0.140625,1,0,0,0,0,0,0
184,-0.046875,0.15625,0.984375,0,0,0,0,0,0
185,-0.03125,0.140625,0.984375,0,0,0,0,0,0
186,-0.03125,0.140625,1,0,0,0,0,0,0
187,-0.046875,0.15625,0.96875,0,0,0,0,0,0
188,-0.046875,0.15625,1,0,0,0,0,0,0
189,-0.03125,0.15625,1,0,0,0,0,0,0
190,-0.046875,0.15625,1,0,0,0,0,0,0
191,-0.03125,0.15625,1.015625,0,0,0,0,0,0
192,-0.03125,0.140625,0.984375,0,0,0,0,0,0
193,-0.046875,0.15625,0.96875,-1.953125,0,0,0,0,0
194,-0.046875,0.171875,0.953125,0,0,0,0,0,0
195,-0.03125,0.15625,1.015625,0,0,0,0,0,0
196,-0.03125,0.140625,1,0,0,0,0,0,0
197,-0.046875,0.15625,0.984375,0,0,0,0,0,0
