motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
"Free hand - 10 steps - low,normal,quiet,high",1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
99,0.89994586,-0.27659312,-0.05230452,-3.2646246,-5.6402555,11.347821,0,0,0
100,0.9055591,-0.27561688,-0.04766743,-4.0559635,-4.9097886,8.973803,0,0,0
101,0.9116606,-0.26609868,-0.053524803,-5.760387,-4.301066,6.6606574,0,0,0
102,0.9238635,-0.26072943,-0.0649955,-10.325806,-3.1444933,1.7300047,0,0,0
103,0.92728025,-0.25926507,-0.062310863,-13.004186,-2.2922816,-1.0092467,0,0,0
104,0.9292327,-0.26097348,-0.061090577,-15.682565,-1.7444314,-3.8702428,0,0,0
105,0.94509643,-0.2700036,-0.06304304,-18.908794,-1.0748366,-9.774851,0,0,0
106,0.9529063,-0.27244416,-0.06304304,-19.700132,-0.6487308,-15.983822,0,0,0
107,0.9548587,-0.27976587,-0.06938853,-19.943623,-0.10088054,-18.96656,0,0,0
108,0.96584135,-0.2817183,-0.07085287,-19.761005,0.32522523,-24.262447,0,0,0
109,0.9721868,-0.28562325,-0.06157869,-20.004494,0.44696975,-26.392975,0,0,0
110,0.98560995,-0.2909925,-0.054012917,-21.343683,0.507842,-29.132227,0,0,0
111,0.9821931,-0.30124292,-0.062310863,-21.891535,1.9079038,-30.288801,0,0,0
112,0.97706795,-0.29660583,-0.057917837,-22.622002,3.2470932,-30.83665,0,0,0
113,0.9655973,-0.29855826,-0.06182275,-23.533686,3.916308,-31.14188,0,0,0
114,0.9892708,-0.3110052,-0.04229817,-25.116364,2.6379905,-31.263624,0,0,0
115,1.024415,-0.30099884,-0.038149197,-25.420725,4.8293915,-32.724556,0,0,0
116,1.0356417,-0.29587364,-0.050108004,-26.577297,5.7424755,-33.333282,0,0,0
117,1.03735,-0.2939212,-0.052548576,-28.403463,7.568643,-33.57677,0,0,0
118,1.0349095,-0.29074845,-0.060846522,-30.838356,9.577428,-34.42898,0,0,0
119,1.036862,-0.29611772,-0.057185665,-32.968884,10.1252775,-35.037704,0,0,0
120,1.0622439,-0.30563593,-0.059626237,-34.916798,9.029576,-36.133404,0,0,0
121,1.0842091,-0.30685622,-0.052792635,-36.37773,8.116493,-36.985615,0,0,0
122,1.1049539,-0.30954087,-0.047911488,-36.864708,9.516555,-38.44655,0,0,0
123,1.1037337,-0.3105171,-0.049131777,-36.68209,11.52534,-40.33359,0,0,0
124,1.1144722,-0.3151542,-0.057185665,-36.68209,11.768828,-42.03801,0,0,0
125,1.1188653,-0.32345212,-0.054501034,-36.13424,12.012318,-43.55982,0,0,0
126,1.1044658,-0.3407802,-0.054989148,-33.699352,15.05593,-45.507732,0,0,0
127,1.0844531,-0.34859002,-0.04229817,-32.968884,16.212502,-45.20337,0,0,0
128,1.0209982,-0.3766566,-0.02814285,-29.255676,17.186459,-36.194275,0,0,0
129,0.8530868,-0.37519225,0.010174137,-24.933746,22.969322,-16.228176,0,0,0
130,0.8089125,-0.36909083,0.020424541,-21.28141,22.969322,-8.375656,0,0,0
131,0.7788934,-0.36787054,0.017495854,-19.029139,21.02141,1.2421592,0,0,0
132,0.7766969,-0.3532271,0.030186832,-17.933437,19.195244,10.920847,0,0,0
133,0.8045195,-0.3161304,0.032383345,-19.942223,18.769138,28.87816,0,0,0
134,0.828193,-0.28952816,0.012858766,-24.385897,20.899668,37.582893,0,0,0
135,0.8543072,-0.26951548,0.010418193,-31.386206,23.760662,45.131054,0,0,0
136,0.9023864,-0.24779437,0.013834995,-40.21268,25.891191,51.827,0,0,0
137,0.9548587,-0.23290688,0.008465736,-51.656666,28.447826,58.21859,0,0,0
138,1.0124562,-0.21704316,-0.00007626789,-62.796288,31.917545,64.00145,0,0,0
139,1.0639523,-0.20752491,-0.024237936,-74.788124,36.361217,68.56687,0,0,0
140,1.1083708,-0.18800035,-0.032291822,-88.72787,42.204956,73.61927,0,0,0
141,1.126919,-0.17042823,-0.06304304,-102.11977,49.327007,77.758575,0,0,0
142,1.0888462,-0.18214297,-0.09818728,-123.12069,61.136227,83.60232,0,0,0
143,1.0744468,-0.19410178,-0.08769282,-130.48622,62.59716,86.21982,0,0,0
144,1.0436956,-0.20020321,-0.09940757,-134.26031,62.901524,87.19378,0,0,0
145,0.98438966,-0.21606694,-0.086716585,-126.28604,59.310055,84.637146,0,0,0
146,0.9463167,-0.22900195,-0.057917837,-116.12038,55.657722,82.44575,0,0,0
147,0.8565036,-0.2287579,-0.042786285,-88.30176,45.91816,74.714966,0,0,0
148,0.82355595,-0.21387042,-0.027654737,-73.93591,40.1353,69.540825,0,0,0
149,0.789876,-0.19263744,-0.009350443,-60.787502,33.743713,64.18407,0,0,0
150,0.7713277,-0.16896388,0.012858766,-50.378487,28.082623,58.58391,0,0,0
151,0.7352072,-0.14675467,0.020912655,-34.91693,21.204058,46.165974,0,0,0
152,0.71446234,-0.14407004,0.026281914,-30.108027,18.890913,39.409153,0,0,0
153,0.70592034,-0.13455181,0.033115517,-27.247028,15.969045,32.59146,0,0,0
154,0.7078728,-0.13528398,0.044830266,-25.846966,13.229793,24.799812,0,0,0
155,0.7169029,-0.14358193,0.053128213,-24.629522,11.038392,16.825546,0,0,0
156,0.72227216,-0.143826,0.060205873,-24.81214,9.820947,9.094771,0,0,0
157,0.73837996,-0.1511477,0.073140904,-27.612263,7.9947796,-6.06242,0,0,0
158,0.7410646,-0.15676102,0.07045628,-30.229769,7.264312,-12.393134,0,0,0
159,0.768399,-0.18287514,0.063866735,-38.08229,3.855466,-24.506712,0,0,0
160,0.7928047,-0.20484029,0.06777164,-39.908455,2.394532,-30.472193,0,0,0
161,0.8245322,-0.24266918,0.054592554,-40.638924,1.5423203,-41.063965,0,0,0
162,0.8352707,-0.24974683,0.047514893,-39.66497,1.1770868,-46.29898,0,0,0
163,0.8460092,-0.26072943,0.044586208,-38.14316,0.38574746,-51.412247,0,0,0
164,0.85089034,-0.26390216,0.044098094,-36.316994,-1.0143144,-56.342903,0,0,0
165,0.8557715,-0.2743966,0.042389695,-34.308212,-2.110015,-60.725704,0,0,0
166,0.8682184,-0.28049803,0.04287781,-32.66466,-3.1448433,-65.04763,0,0,0
167,0.8704149,-0.30124292,0.03824072,-29.742792,-7.0406675,-72.29143,0,0,0
168,0.8767604,-0.3080765,0.030919002,-28.038368,-9.171196,-75.335045,0,0,0
169,0.91580963,-0.3395599,0.034579862,-19.577126,-17.693312,-85.31809,0,0,0
170,0.9424118,-0.3502984,0.03384769,-15.011705,-20.06733,-88.78781,0,0,0
171,0.96169233,-0.36933488,0.035067976,-9.228843,-21.650007,-92.56189,0,0,0
172,0.9707225,-0.38324612,0.0526401,-2.3502777,-23.11094,-96.15335,0,0,0
